FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,UNCERTAINTY,SAMPLE_METHOD,MEDIUM_CODE,DQM_REASON_CODE,COMPOSITE_YN,RESULT_ERROR_DELTA,COUNTING_ERROR,SAMPLE_START_DATE,ANL_SHORT_NAME,MINIMUM_DETECTABLE_CONC,SAMPLE_END_DATE,ANALYST_NAME,collection_date
1,SRS,FMC-002F,FMC-002F,383542,3Q09FHFMB0001,FMC-002F-SW-2009-09-10T00:00:00,9/10/09,10 Sep 2009,08:00,REG,,,,SW,3Q09FHFMB,,,,LB,301143248,,EBLFY08,L3.21-10021,9/25/09,00,T,000,,,,,100,1,2390584,15046-84-1,IODINE-129,N,< 5.16,5.16,pCi/L,5.16,,0.8230,2.99,Yes,N,,,,2.99,,0.8230,pCi/L,VU,5.16,5.16,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.09,,9/10/09,I129,,9/10/09,,9/10/09
1,SRS,FMC-002F,FMC-002F,388784,FHFMB-0000037,FMC-002F-SW-2009-12-08T00:00:00,12/8/09,08 Dec 2009,07:30,REG,,,,SW,4Q09FHFMB,,,,LB,301209732,,EBLFY08,L3.21-10021,12/22/09,00,T,000,,,,,100,1,2406915,15046-84-1,IODINE-129,N,< 5.98,5.98,pCi/L,5.98,,0.7950,3.01,Yes,N,,,,3.01,,0.7950,pCi/L,VU,5.98,5.98,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.11,,12/8/09,I129,,12/8/09,,12/8/09
1,SRS,FMC-002F,FMC-002F,391613,FHFMB-0000060,FMC-002F-SW-2010-03-08T00:00:00,3/8/10,08 Mar 2010,10:15,REG,,,,SW,1Q10FHFMB,,,,LB,301290624,,EBLFY10,L3.21-10021,4/8/10,00,T,000,,,,,100,1,2416618,15046-84-1,IODINE-129,N,< 2.46,2.46,pCi/L,2.46,,0.7970,2.44,Yes,N,,,,2.44,,0.7970,pCi/L,VU,2.46,2.46,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.8190,,3/8/10,I129,,3/8/10,,3/8/10
1,SRS,FMC-002F,FMC-002F,394240,FHFMB-0000061,FMC-002F-SW-2010-06-09T00:00:00,6/9/10,09 Jun 2010,09:15,REG,,,,SW,2Q10FHFMB,,,,LB,301349743,,EBLFY10,L3.21-10021,6/25/10,00,T,000,,,,,100,1,2420747,15046-84-1,IODINE-129,N,< 7.83,7.83,pCi/L,7.83,,0.7120,3.27,Yes,N,,,,3.27,,0.7120,pCi/L,VU,7.83,7.83,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.28,,6/9/10,I129,,6/9/10,,6/9/10
1,SRS,FMC-002F,FMC-002F,398442,FHFMB-0000073,FMC-002F-SW-2010-09-13T00:00:00,9/13/10,13 Sep 2010,12:15,REG,,,,SW,3Q10FHFMB,,,,LB,301417695,,EBLFY10,L3.21-10021,9/29/10,00,T,000,,,,,100,1,2432985,15046-84-1,IODINE-129,N,< 9.14,9.14,pCi/L,9.14,,1.06,4.12,Yes,N,,,,4.12,,1.06,pCi/L,VU,9.14,9.14,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.53,,9/13/10,I129,,9/13/10,,9/13/10
1,SRS,FMC-002F,FMC-002F,401536,FHFMB-0000085,FMC-002F-SW-2010-11-30T00:00:00,11/30/10,30 Nov 2010,08:00,REG,,,,SW,4Q10FHFMB,,,,LB,301470351,,EBLFY10,L3.21-10021,12/11/10,00,T,000,,,,,100,1,2440161,15046-84-1,IODINE-129,N,< 6.66,6.66,pCi/L,6.66,,1.01,4.16,Yes,N,,,,4.16,,1.01,pCi/L,VU,6.66,6.66,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.57,,11/30/10,I129,,11/30/10,,11/30/10
1,SRS,FMC-002F,FMC-002F,404684,1Q11FHFMB0001,FMC-002F-SW-2011-03-04T00:00:00,3/4/11,04 Mar 2011,08:50,REG,,,,SW,1Q11FHFMB,,,,LB,301542604,,EBLFY11,L3.21-10021,3/21/11,00,T,000,,,,,100,1,2452878,15046-84-1,IODINE-129,N,< 4.34,4.34,pCi/L,4.34,,1.03,3.36,Yes,N,,,,3.36,,1.03,pCi/L,VU,4.34,4.34,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.16,,3/4/11,I129,,3/4/11,,3/4/11
1,SRS,FMC-002F,FMC-002F,663295,1Q11FHFMB0001_LD,FMC-002F-SW-2011-03-04T00:00:00,3/4/11,04 Mar 2011,08:50,LD,,,,SW,1Q11FHFMB,,1Q11FHFMB0001,,LB,301543114,,EBLFY11,L3.21-10021,3/21/11,00,T,000,,,,,100,1,3122608,15046-84-1,IODINE-129,N,< 3.09,3.09,pCi/L,3.09,,1.04,3.07,Yes,N,,,,3.07,,1.04,pCi/L,VU,3.09,3.09,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.01,,3/4/11,I129,,3/4/11,,3/4/11
1,SRS,FMC-002F,FMC-002F,407653,FHFMB-0000097,FMC-002F-SW-2011-05-31T00:00:00,5/31/11,31 May 2011,12:35,REG,,,,SW,2Q11FHFMB,,,,LB,301603095,,EBLFY11,L3.21-10021,6/9/11,00,T,000,,,,,100,1,2458202,15046-84-1,IODINE-129,N,< 7.64,7.64,pCi/L,7.64,,1.01,3.78,Yes,N,,,,3.78,,1.01,pCi/L,VU,7.64,7.64,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,1.38,,5/31/11,I129,,5/31/11,,5/31/11
1,SRS,FMC-002F,FMC-002F,410142,FHFMB-0000109,FMC-002F-SW-2011-08-31T00:00:00,8/31/11,31 Aug 2011,16:40,REG,,,,SW,3Q11FHFMB,,,,LB,301660771,,EBLFY11,L3.21-10021,9/8/11,00,T,000,,,,,100,1,2466219,15046-84-1,IODINE-129,N,< 3.03,3.03,pCi/L,3.03,,0.8010,2.51,Yes,N,,,,2.51,,0.8010,pCi/L,VU,3.03,3.03,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.8540,,8/31/11,I129,,8/31/11,,8/31/11
