BU,CT,IE,fuelType,TOT_SF,TOT_A,I127,I129,I131
50.0,7847.5,4.5,UOX,792.158,73624500000.0,3.30372788106354e-06,1.02782923855459e-05,3.97133748529093e-301
50.0,8030.0,4.5,UOX,777.554,72577000000.0,3.30372788106354e-06,1.02782921588058e-05,5.83250911061121e-308
50.0,8212.5,4.5,UOX,763.227,71549200000.0,3.30372788106354e-06,1.02782919320656e-05,8.56592084e-315
50.0,8395.0,4.5,UOX,749.171,70540400000.0,3.30372788106354e-06,1.02782917053255e-05,1.26e-321
50.0,8577.5,4.5,UOX,735.382,69549900000.0,3.30372788106354e-06,1.02782914785853e-05,0.0
50.0,8760.0,4.5,UOX,721.854,68577100000.0,3.30372788106354e-06,1.02782912518452e-05,0.0
50.0,8942.5,4.5,UOX,708.582,67621600000.0,3.30372788106354e-06,1.0278291025105e-05,0.0
50.0,9125.0,4.5,UOX,695.562,66682700000.0,3.30372788106354e-06,1.02782907983649e-05,0.0
50.0,9307.5,4.5,UOX,682.788,65760000000.0,3.30372788106354e-06,1.02782905716247e-05,0.0
50.0,9490.0,4.5,UOX,670.256,64853100000.0,3.30372788106354e-06,1.02782903448846e-05,0.0
50.0,9672.5,4.5,UOX,657.962,63961500000.0,3.30372788106354e-06,1.02782901181445e-05,0.0
50.0,9855.0,4.5,UOX,645.9,63084900000.0,3.30372788106354e-06,1.02782898914044e-05,0.0
50.0,10037.5,4.5,UOX,634.067,62222800000.0,3.30372788106354e-06,1.02782896646643e-05,0.0
50.0,10220.0,4.5,UOX,622.458,61374900000.0,3.30372788106354e-06,1.02782894379242e-05,0.0
50.0,10402.5,4.5,UOX,611.069,60541000000.0,3.30372788106354e-06,1.02782892111841e-05,0.0
50.0,10585.0,4.5,UOX,599.896,59720600000.0,3.30372788106354e-06,1.0278288984444e-05,0.0
50.0,10767.5,4.5,UOX,588.934,58913400000.0,3.30372788106354e-06,1.02782887577039e-05,0.0
50.0,10950.0,4.5,UOX,578.18,58119300000.0,3.30372788106354e-06,1.02782885309638e-05,0.0
